,address,description,title,url,state
21,"1021 N. Grand Avenue E. 
Springfield, IL 62702 United States","Responsible for implementing the environmental program for the state of Illinois. Administers a variety of programs to protect the air, land, and water.",Illinois Environmental Protection Agency,www.illinois.gov,IL
22,"One Natural Resources Way 
Springfield, IL 62702-1271 United States","The mission of the Illinois Nature Preserves Commission (INPC) is to assist private and public landowners in protecting high-quality natural areas and habitats of endangered and threatened species in perpetuity, through voluntary dedication or registration of such lands into the Illinois Nature Preserves System. The Commission promotes the preservation of these significant lands and provides leadership in their stewardship, management, and protection.",Illinois Nature Preserves Commission (Inpc),www.dnr.state.il.us/inpc/index.htm,IL
23,"402 W. Washington Street, Rm. W255B 
Indianapolis, IN 46204-2748 United States","The DNR administers more than 100 properties throughout Indiana, comprising more than 400,000 acres. The DNR provides recreational opportunities for millions of Hoosiers and out-of-state visitors annually at its state parks, forests, reservoirs, and fish and wildlife areas. The DNR also has wide-ranging responsibilities for various programs, such as maintaining the Indiana State Museum and more than a dozen historic sites throughout the state and ensuring coal mining and reclamation of these places.",Indiana Department Of Natural Resources,www.in.gov/dnr,IN
24,"Wallace State Office Building, 502 East 9th Street 
Des Moines, IA 50319-0034 United States","The Division of Soil Conservation is responsible for state leadership in the protection and management of soil, water, and mineral resources and assisting soil and water conservation districts and private landowners to achieve their agricultural and environmental objectives.",Iowa Department Of Agriculture And Land Stewardship; Division Of Soil Conservation And Water Quality,www.agriculture.state.ia.us/soilconservation,IA
25,"1426 Highway 183 Alt. 
P.O. Box 338 
Hays, KS 67601 United States",Northwest Regional Office of state agency responsible for management and protection of fish and wildlife resources,"Kansas Department Of Wildlife, Parks & Tourism; Region 1",www.kdwp.state.ks.us,KS
26,"900 SW Jackson Street, Suite 404 
Topeka, KS 66612-1249 United States","State water planning, policy, and coordination agency. Prepares state plan of water resources management; conservation; fish and wildlife, and recreation and development. Also reviews water laws, and recommends new or amendatory legislation. Administers the state water monitoring program.",Kansas Water Office,www.kwo.org,KS
27,"5825 Florida Blvd 
Baton Rouge, LA 70806 United States",State Agency,Louisiana Department Of Agriculture And Forestry,www.ldaf.state.la.us,FL
28,"P.O. Box 94275 
Baton Rouge, LA 70804-9275 United States",State regulatory agency for oil and gas matters.,Louisiana Department Of Natural Resources; Office Of Conservation,www.dnr.state.la.us/cons/conserv.ssi,LA
29,"USGS Biological Resources Division, 5755 Nutting Hall, 
University of Maine 
Orono, ME 04469-5755 United States","Provide graduate training and research experience in wildlife and fish ecology and management. Supported cooperatively by the University of Maine in Orono, ME, Maine Department of Inland Fisheries and Wildlife, U.S. Geological Survey, and the Wildlife Management Institute.",Maine Cooperative Fish And Wildlife Research Unit (Usdi),http://www.wle.umaine.edu/Coop_Unit,ME
30,"22 State House Station 
Augusta, ME 04333 United States",,Maine Department Of Conservation; Bureau Of Geology And Natural Areas,www.state.me.us/doc/nrimc/nrimc.htm,ME
31,"Inland Fisheries and Wildlife 
284 State Street 
Augusta, ME 04333 United States",State agency protecting fish and wildlife resources in the state of Maine.,Maine Department Of Inland Fisheries &; ; Wildlife,http://www.maine.gov/ifw/,ME
32,"689 Farmington Road 
Strong, ME 04983 United States",State fish and wildlife management agency.,Maine Department Of Inland Fisheries And Wildlife; Fisheries Division; Region D,www.maine.gov/ifw,ME
33,"251 Causeway Street, Suite 500 
Boston, MA 02114 United States","State agency responsible for farmland preservation, animal health and dairy services, pesticide regulation, feed and fertilizer registration, farm viability, business training, and related programs.",Massachusetts Executive Office Of Environmental Affairs; Department Of Agricultural Resources,www.mass.gov/agr,MA
34,"1 Winter Street 
Boston, MA 02108 United States",Regulates activities near wetland resources pursuant to State Wetlands Protection Act and licenses structures in and adjacent to coastal and inland waterways.,Massachusetts Executive Office Of Environmental Affairs; Department Of Environmental Protection; Division Of Watershed Management; Wetlands And Waterways Program,www.state.ma.us/dep,MA
35,"90 W. Plato Boulevard 
St. Paul, MN 55107 United States","Enforces laws to protect public health; promote family farming and marketing of Minnesota farm products; conserve soil and water; and prevent fraud and deception in the manufacture and distribution of foods, animal feeds, fertilizers, pesticides, seeds, and other items.",Minnesota Department Of Agriculture,www.mda.state.mn.us,MN
36,"1616 Missouri Boulevard 
Jefferson City, MO 65102 United States","Serving, promoting, and protecting the agricultural producers, processors, and consumers of Missouri’s food, fuel, and fiber products.",Missouri Department Of Agriculture,www.mda.mo.gov,MO
37,"2901 West Truman Blvd. 
Jefferson City, MO 65109 United States","The department is responsible for the control, management, restoration, conservation, and regulation of the bird, fish, game, forestry, and all wildlife resources of the state. These responsibilities are met through a wide variety of programs encompassing fish, wildlife, and forest management, regulations and enforcement, conservation education and interpretation, endangered species, and policy development.",Missouri Department Of Conservation,www.mdc.mo.gov,MO
38,"P.O. Box 330 
Trenton, NJ 08625 United States","A unit of state government administered by the state Department of Agriculture. Responsible for conservation of soil resources and control and prevention of soil erosion and nonpoint source pollution, prevention of damage by floodwater or sediment, and conservation of water for agricultural purposes. Provides leadership, standards, rules, funding, and administrative and technical assistance; coordinates local district conservation programs; and is an interagency with 12 members.",New Jersey Department Of Agriculture - State Soil Conservation Committee; Division Of Agriculture And Natural Resources; State Soil Conservation Committee,http://www.nj.gov/agriculture/divisions/anr/nrc/,NJ
39,"N.J. Division of Fish and Wildlife 
P.O. Box 400 
Trenton, NJ 08625-0400 United States","The mission of the New Jersey Division of Fish and Wildlife is to protect and manage the state’s fish and wildlife to maximize their long-term biological, recreational, and economic values for all New Jerseyans.",New Jersey Department Of Environmental Protection; Division Of Fish And Wildlife,http://www.njfishandwildlife.com/,NJ
40,"State Park Service 
Mail Code: 501-04 
PO Box 420 
Trenton, NJ 08625-0420 United States","New Jersey State parks, forests, recreation areas, historic sites, golf course, marinas",New Jersey Department Of Environmental Protection; Division Of Parks And Forestry,www.njparksandforests.org,NJ
41,"Pinelands Commission 
PO Box 359 
New Lisbon, NJ 08064 United States",State planning and regulatory agency with jurisdiction over land use and development in the million-acre Pinelands National Reserve; 53 municipalities in the state Pinelands area have and revise local master plans and zoning ordinances to incorporate standards of the regional conservation plan.,New Jersey Pinelands Commission,www.nj.gov/pinelands,NJ
42,"801 Leroy Place 
Socorro, NM 87801 United States","Charged with investigating and reporting on all types of mineral resources and the geology of the state, including environmental geology, water resources, and geological hazards; responsible for conducting applied research on all aspects of geology and mineral resources.",New Mexico Bureau Of Geology And Mineral Resources,www.geoinfo.nmt.edu,NM
43,"MSC 3189, P.O. Box 30005 
Las Cruces, NM 88003-8005 United States","Organized to protect state agriculture from importation of plant diseases and insects and help control those that gain entrance, ensure products offered for sale meet quality standards as advertised and labeled, maintain inspection of agricultural products for interstate shipping, perform laboratory analyses of animal diseases and deaths on fee basis, promote state agricultural commodities, provide market news, and conduct consumer and producer service activities designated by law.",New Mexico Department Of Agriculture,www.nmda.nmsu.edu,NM
44,"1285 Fisher Avenue 
Cortland, NY 13045-1090 United States","This board is an independent, grassroots organization consisting of representatives of landowners, sportsmen, and county legislators from each county in the state and appointed by each county. Board members identify problems related to access, habitat management, and good landowner-sportsman relations in their local areas. They discuss and consider possible solutions to these problems at board meetings and then seek to resolve them through meaningful action.",New York State Fish And Wildlife Management Board; Region 7; Nysdec,,NY
45,"317 Washington Street 
Suite 606 
Watertown, NY 13601 United States","The Tug Hill Commission is a nonregulatory state agency charged with helping local governments, organizations, and citizens shape the future of this rural, 2,100-square-mile region in northern New York State, especially its environment and economy.",New York State Tug Hill Commission,www.tughill.org,NY
46,"111 E. Chesapeake Street, University of Oklahoma 
Norman, OK 73019 United States","State office and organized research unit of university. Acquires information on biological resources and natural areas, conducts research on natural biota, jointly maintains Bebb Herbarium, has responsibility for Oklahoma Natural Heritage Inventory, and provides training for students. Jointly operates Oklahoma Fishery Research Laboratory with Oklahoma Department of Wildlife Conservation.",Oklahoma Biological Survey; Oklahoma Natural Heritage Inventory; Sutton Avian Research Center; Robert Bebb Herbarium,www.biosurvey.ou.edu,OK
47,"2800 N. Lincoln Boulevard, Suite 160 
Oklahoma City, OK 73105 United States",The Commission’s mission is to assist and supervise the state’s 88 local conservation districts in carrying out conservation practices of all renewable natural resources.,Oklahoma Conservation Commission; State Of Oklahoma; Conservation Commission; State Conservation Agency,http://www.ok.gov/conservation/,OK
48,"Oklahoma DEQ 
P.O. Box 1677 
707 North Robinson 
Oklahoma City, OK 73101-1677 United States",The Department of Environmental Quality is dedicated to providing quality service to the people of Oklahoma through comprehensive environmental protection and management programs. Those programs are designed to assist the people of the state in sustaining a clean sound environment and in preserving and enhancing their natural surroundings.,Oklahoma Department Of Environmental Quality,www.deq.state.ok.us,OK
49,"725 Summer Street NE Suite A 
Salem, OR 97301-1271 United States","The Water Resources Department is the steward of the state’s water resources. The agency enforces state water laws and policies; promotes actions that restore and protect streamflows and watersheds in order to ensure the long-term sustainability of Oregon’s ecosystems, economy, and quality of life; addresses water supply needs; and increases the understanding of the resource and the demands on it.",Oregon Water Resources Department,http://www.oregon.gov/OWRD,OR
50,"7th Floor 
Rachel Carson State Office Building P.O. Box 8767 
Harrisburg, PA 17105-8767 United States","The department’s mission is to maintain and preserve state parks; to manage state forest lands to ensure their long-term health, sustainability, and economic use; to provide information on Pennsylvania’s ecological and geologic resources; and to administer grant and technical assistance programs that will benefit river conservation, trails and greenways, local recreation, regional heritage conservation, and environmental education programs across Pennsylvania.",Pennsylvania Department Of Conservation And Natural Resources,www.dcnr.state.pa.us,PA
51,"1330 Broadway, 11th Floor 
Oakland, CA 94612-2530 United States","A state agency using planning, land-use conflict resolution, acquisition, and development techniques in the restoration, enhancement, and preservation of coastal resources. Program areas include agricultural preservation, lot consolidation, urban waterfront restoration, coastal resource enhancement, the reservation of significant resource sites, provision of public access, and assistance to nonprofit organizations.","Resources Agency, The; California Coastal Conservancy",www.coastalconservancy.ca.gov,CA
52,"235 Promenade Street 
Providence, RI 02908 United States","The Department of Environmental Management’s top priorities include the preservation and protection of the environmental quality of Rhode Island. Air pollution, water pollution, and waste disposal problems are handled by DEM. DEM develops, administers, and enforces programs designed to preserve and manage Rhode Island’s forests, parks, farms, wildlife, fisheries, and coastline. DEM is also responsible for providing, on the average, 750 full-time jobs for the people of Rhode Island.",Rhode Island Department Of Environmental Management,www.state.ri.us/dem,RI
53,"1111 Washington Street, SE 
P.O. Box 40917 
Olympia, WA 98504-0917 United States",The SRFB supports salmon recovery by funding habitat protection and restoration projects. It also supports related programs and activities that produce sustainable and measurable benefits for fish and their habitat.,Salmon Recovering Funding Board; ; (Srfb),http://www.rco.wa.gov/boards/srfb.shtml,WA
54,"18372 Sycamore Creek Road 
Escondido, CA 92025 United States",Five cities and a county cooperating to establish a 55-mile-long natural open-space park that will preserve an entire river corridor.,San Dieguito River Park Joint Powers Authority,www.sdrp.org,CA
55,"285 W. 18th Street, #1 
Tucson, AZ 85701 United States","Created to promote the development of ecological restoration both as a discipline and as a model for a healthy relationship with nature, and to raise awareness of the value and limitations of restoration as a conservation strategy.",Society For Ecological Restoration International,www.ser.org,AZ
56,"54 Portsmouth Street 
Concord, NH 03301-5400 United States","Founded in 1901, the Society for the Protection of New Hampshire Forests is a 10,000-member nonprofit organization that has helped protect more than 1 million acres across the state.",Society For The Protection Of New Hampshire Forests; The Forest Society,www.forestsociety.org,NH
57,"62 Tidy Island Boulevard 
Bradenton, FL 34210 United States","Dedicated to accumulating land for sportsmen to be owned and managed in perpetuity for wildlife habitat, for public access, and for responsible use by anglers and hunters.","Sportsmen’S National Land Trust, The; National Headquarters",http://www.snlt.org/,FL
58,"P.O. Box 4347 
Arcata, CA 95518-4347 United States","SEI is an action-advocacy group grounded in petroleum market expertise. Reducing massively today’s
   

   oil use is their purpose. A radical critique that shatters illusions and offers solutions to war for oil and accommodating overpopulation is reflected in their e-Letter and programs. They monitor the peak of global oil production, but also understand the immediacy of market response and the world’s vulnerability to the collapse of petroleum civilization. SEI founded Alliance for a Paving Moratorium.",Sustainable Energy Institute; Culture Change; Depavers; Pedal Power Produce,www.culturechange.org,CA
59,"P.O. Box 4347 
Arcata, CA 95518 United States","They assist people in defining sustainability, mainly through discussing petroleum dependence and solutions, such as human-powered transport, and local economics. As reforms and regulations have only fed the status quo, they promote cultural change to deal with the ecological crisis.",Sustainable Energy Institute; Culture Change Magazine,www.culturechange.org,CA
60,"P. O. Box 60052 
Fort Worth, TX 76134-9998 United States","Statewide environmental education group serving formal and informal educators K-16. TAEE hosts two statewide conferences a year, with numerous regional workshops and staff development opp. Affiliate of NAAEE.",Texas Association For Environmental Education,www.sites.google.com/site/taeeorgsite/,TX
61,"555 Eleventh Street NW, 6th Floor 
Washington, DC 20004 United States","The Theodore Roosevelt Conservation Partnership is a service organization providing state-of-the-art grassroots organizing, fundraising, media, and coordination assistance to the conservation community in helping partner organizations educate policy-makers on issues affecting hunting and angling.",Theodore Roosevelt Conservation Partnership,www.trcp.org,WA
62,"P.O. Box 609 
519 Sheridan Street 
Eagle River, W1 54521 United States","An accredited specialty school that conducts multiday workshops with natural-resource themes for elementary, middle and high school students, and others from Wisconsin, Michigan, and Illinois. Most topics taught outdoors. Also offers teacher graduate courses and adult special-interest courses. Call for free brochure. Tree seedlings available for sale.","Trees For Tomorrow, Natural Resources Specialty School",www.treesfortomorrow.com,
63,"Trout Unlimited of California 
4005 Manzanita Ave. Suite 6, Box 302 
Carmichael, CA 95608 United States",A statewide council with 10 active chapters working for the protection and enhancement of cold-water fishery resources.,Trout Unlimited; California Council,californiatu.org,CA
64,"Attn: Chairman, P. O. Box 5046 
Oak Brook, IL 60522-5046 United States",A statewide council with four active chapters working for the protection and enhancement of cold-water fishery resources.,Trout Unlimited; Illinois Council,www.tu.org,IL
65,"Attn: Chairman, 135 Tacoma Cir. 
Asheville, NC 28801-1625 United States",A statewide council with 18 active chapters working for the protection and enhancement of cold-water fishery resource.,Trout Unlimited; North Carolina Council,www.nctu.org,NC
66,"611 East Taylor Lane, #G 
Murray, UT 84170 United States",Dedicated to the protection and enhancement of the cold-water fishery resource.,Trout Unlimited; Utah Council,,UT
67,"Attn: Chairman, 2701 NE 148th Avenue 
Vancouver, WA 98684-7877 United States",A statewide council with 31 active chapters working for the protection and enhancement of cold-water fishery resources.,Trout Unlimited; Washington Council,,WA
68,"12615 Rockford Road 
Plymouth, MN 55441-1248 United States","International scientific and educational organization dedicated to ensuring the vitality and welfare of wild trumpeter swan populations in North America, and to restoring the species to its original range. The Society promotes research into trumpeter ecology and management, and provides a framework for exchange of knowledge about the species.","Trumpeter Swan Society, The",www.trumpeterswansociety.org,MN
69,"127 Ehrich Road 
Shaftsbury, VT 05262 United States","Dedicated to wildlife conservation and education emphasizing wildlife habitats. International partnerships with a focus on Russia, Caribbean, South Mexico, and Central and South America; partnership with Rotary International sponsorship of a 110-acre outdoor labortory with a Vermont middle school; protection of neotropical migrant birds and their wintering grounds. 75 film productions with Russian Public Television; and banding research stations in Vermont (migrating hawks) and Wildlife Conservation International Bronx Zoo (neotropical migrants).","Trust For Wildlife, Inc.",www.trustforwildlife.org,VT
70,"1615 H Street NW 
Washington, DC 20062 United States","The U.S. Chamber of Commerce is the world’s largest business federation, representing more than 3 million businesses and organizations of every size, sector, and region. Positions on national issues are developed by a cross section of Chamber members serving on committees, subcommittees, and task forces. Currently, some 1,800 business people participate in this process.","United States Chamber Of Commerce; Environment, Technology & Regulatory Affairs Division",www.uschamber.com,WA
71,"801 Kingsmill Parkway 
Columbus, OH 43229-1137 United States","Companion nonprofit organizations established to protect America’s hunting, trapping, and fishing heritage, and the scientific wildlife management practices that support it. The U.S. Sportsmen’s Alliance is the legislative arm. The U.S. Sportsmen’s Alliance Foundation is the legal defense, public education, and research arm.",United States Sportsmen’S Alliance And United States Sportsmen’S Alliance Foundation,http://www.sportsmensalliance.org/,OH
72,"P.O. Box 520041 
Salt Lake City, UT 84152-0041 United States","The Society is a charitable, nonprofit dedicated to the understanding, preservation, enjoyment, and responsible use of the Utah native plants. They wish to foster public recognition of the diverse flora of the state.",Utah Native Plant Society,www.unps.org,UT
73,"257 N. Tamiami Trail 
Venice, FL 34285 United States","Venice Area Beautification, Inc. (VABI) is the nonprofit organization constructing and maintaining the Venetian Waterway Park (VWP). This linear trail, upon completion, will run along both sides of the Intracoastal Waterway in Venice, FL. To date, 2.5 miles of the planned 10-mile trail are complete. The trail is promoting a clean environment, stressing the importance of potecting natural habitats and encouraging daily outdoor exercise.","Venice Area Beautification, Inc.; Venetian Waterway Park; Venice Area Beautification, Inc.",www.vabi.org,FL
74,"PO Box 2295 
Peabody, MA 01960 United States",The Vernal pool society is dedicated to the preservation of the few remaining vernal pools by maintaining a voice for this precious and unique biome. They are creating an awareness and understanding of the environmental problems facing these isolated wetlands through education and advocacy. They develop and promote effective management and monitoring practices that will ensure survival of the entire vernal pool ecosystem.,"Vernal Pool Society, The",http://www.vernalpool.org/,MA
75,"P.O. Box 2189 
Vineyard Haven, MA 02568 United States","The Vineyard Conservation Society was founded in 1965 on the Island of Martha’s Vineyard and is proactively involved in preserving land, protecting the island from unwise development and educating the public on environmental issues. The Vineyard Conservation Almanac is the island’s most comprehensive online resource for information relating to the Vineyard environment. The Conservation Almanac offers quick and easy access to the island’s government processes and environmental community.",Vineyard Conservation Society; Vineyard Conservation Almanac,http://www.vineyardconservation.org/,MA
76,"409 East Main Street 
Suite 201 
Richmond, VA 23219 United States","The Virginia Conservation Network is a network of 100 organizations. VCN’s mission is to protect the commonwealth’s air, lands, and waters for the benefit of the people, as guaranteed by the Virginia constitution.",Virginia Conservation Network,www.vcnva.org,VA
77,"601 Wythe Street 
Alexandria, VA 22314-1994 United States","A nonprofit technical and educational organization with the mission to preserve and enhance the global water environment. Federation members are water-quality specialists from around the world, including environmental, civil, and chemical engineers, biologists, government officials, treatment plant managers and operators, laboratory technicians, college professors, students, and equipment manufacturers and distributors.",Water Environment Federation,www.wef.org,VA
78,"P.O.Box 377 
403 Hilton Road 
Apalachin, NY 13732 United States","Waterman Conservation Education Center promotes conservation education and outdoor recreation activities. They serve their members, the citizens of the Twin Tiers of New York State and Pennsylvania, and all visitors to their four wildlife refuge sites.",Waterman Conservation Education Center,www.watermancenter.org,NY
79,"1615 M Street NW, Suite 100 
Washington, DC 20036 United States","A membership-based organization devoted to protecting America’s wilderness and wildlife, and to developing a nationwide network of wildland through public education, scientific analysis, and advocacy. The Society welcomes membership inqiries, contributions, and bequests.","Wilderness Society, The",www.wilderness.org,WA
80,"3853 Farrell Road 
Hastings, MI 49058 United States","The Wildflower Association of Michigan promotes, coordinates, and participates in education, enjoyment, science, and stewardship of native wildflowers and their habitats.",Wildflower Association Of Michigan; C/O Marji Fuller,www.wildflowersmich.org,MI
81,"P.O. Box 519, 600 Discovery Lane 
Grasonville, MD 21638 United States","A nonprofit, tax-exempt organization dedicated to the preservation of wildlife and wetlands through education, conservation, restoration, and research. The Trust operates Chesapeake Bay Environmental Center on its 500-acre wetland refuge on the Chesapeake Bay’s Eastern Shore. The Center provides environmental education programs, a collection of resident waterfowl and raptors, a visitor’s center, trails, and observation blinds. Canoes are available for rental.","Wildfowl Trust Of North America, Inc., The; Chesapeake Bay Environmental Center; Cbec",cbec-wtna.org,MD
82,"P.O. Box 11010 
Tallahassee, FL 32302 United States","The mission of the Wildlife Foundation of Florida, Inc., is to provide assistance, funding, and promotional support for the Florida Fish and Wildlife Conservation Commission and, in so doing, contribute to the health and well-being of Florida’s fish and wildlife resources and their habitats.","Wildlife Foundation Of Florida, Inc.",www.wildlifefoundationofflorida.com,FL
83,"5410 Grosvenor Lane 
Bethesda, MD 20814 United States","International scientific and educational organization of professionals and students engaged in wildlife research, management, education, and administration.
   

   Dedicated to sound stewardship of wildlife resources and the environments upon which wildlife and humans depend. Undertakes an active role in preventing human-induced environmental degradation, increases awareness and appreciation of wildlife values, and seeks the highest standards in all activities of the wildlife profession.",Wildlife Society,www.drupal.wildlife.org,MD
84,"1701 North Market Street, Suite 7 
P. O. Box 69 
Sparta, IL 62286 United States 
 
 
Contact(s): 
 
Scott Meister, President;
   
    smeister@dupageforest.org",,Wildlife Society; Illinois Chapter,www.wildlife.org/illinois,IL
85,"Purdue University 
195 Marsteller Street 
West Lafayette, IN 47907 United States","The Indiana Chapter of The Wildlife Society is a professional organization of trained wildlife ecologists, biologists, and managers in the state. Their mission is to enhance the ability of wildlife professionals to conserve diversity, sustain productivity, and ensure responsible use of wildlife resources for the benefit of society. The Wildlife Society encourages professional growth through certification, peer-reviewed publications, conferences, and working groups.",Wildlife Society; Indiana Chapter,https://www.intws.org/,IN
86,"115 E. 900 N. 
Richfield, UT 84701 United States",Society of professional wildife biologists in the state of Utah affiliated with the national chapter of The Wildlife Society,Wildlife Society; Utah Chapter,www.uttws.org,UT
87,"720 St. Croix Street, Suite 101 
P.O. Box 68 
Prescott, WI 54021 United States","A representative statewide organization, affiliated with the National Wildlife Federation, dedicated to the protection and enhancement of wildlife and its habitat through public education and government interaction.",Wisconsin Wildlife Federation,www.wiwf.org,WI
88,"P.O. Box 303 
Cherokee, TX 76832 United States",Advocates for wolves and other endangered species and habitat,"Wolf Group, The",www.wolf.com,TX
89,"3111 Offut Lake Road 
Tenino, WA 98589 United States","The organization’s mission is “Working for Wolf Conservation,” done primarily through providing public education on the value of all wildlife, providing sanctuary for captive-born wolves, promoting wolf reestablishment in historic ranges, and protecting their remaining wild wolves. Wolf Haven is also one of three prerelease breeding facilities for the Mexican Wolf Recovery Program.",Wolf Haven International; Wolf Haven,www.wolfhaven.org,WA
